UID        PID  PPID  C STIME TTY          TIME CMD
root      4570  4526  6 06:09 ?        00:02:00 kube-apiserver --authorization-mode=Node,RBAC --enable-admission-plugins=Initializers,NamespaceLifecycle,LimitRanger,ServiceAccount,DefaultStorageClass,DefaultTolerationSeconds,NodeRestriction,MutatingAdmissionWebhook,ValidatingAdmissionWebhook,ResourceQuota --advertise-address=172.17.0.13 --allow-privileged=true --client-ca-file=/var/lib/minikube/certs/ca.crt --enable-bootstrap-token-auth=true --etcd-cafile=/var/lib/minikube/certs/etcd/ca.crt --etcd-certfile=/var/lib/minikube/certs/apiserver-etcd-client.crt --etcd-keyfile=/var/lib/minikube/certs/apiserver-etcd-client.key --etcd-servers=https://127.0.0.1:2379 --insecure-port=0 --kubelet-client-certificate=/var/lib/minikube/certs/apiserver-kubelet-client.crt --kubelet-client-key=/var/lib/minikube/certs/apiserver-kubelet-client.key --kubelet-preferred-address-types=InternalIP,ExternalIP,Hostname --proxy-client-cert-file=/var/lib/minikube/certs/front-proxy-client.crt --proxy-client-key-file=/var/lib/minikube/certs/front-proxy-client.key --requestheader-allowed-names=front-proxy-client --requestheader-client-ca-file=/var/lib/minikube/certs/front-proxy-ca.crt --requestheader-extra-headers-prefix=X-Remote-Extra- --requestheader-group-headers=X-Remote-Group --requestheader-username-headers=X-Remote-User --secure-port=8443 --service-account-key-file=/var/lib/minikube/certs/sa.pub --service-cluster-ip-range=10.96.0.0/12 --tls-cert-file=/var/lib/minikube/certs/apiserver.crt --tls-private-key-file=/var/lib/minikube/certs/apiserver.key
root      4579  4529  0 06:09 ?        00:00:00 /bin/bash /opt/kube-addons.sh
root      5055     2  0 06:09 ?        00:00:00 [kworker/u4:0]
root      5083     1  0 06:09 ?        00:00:00 docker-containerd-shim 6d608a9756359a129ab7232ab3bb2b35736db9c478e129279acfb62dcb666904 /var/run/docker/libcontainerd/6d608a9756359a129ab7232ab3bb2b35736db9c478e129279acfb62dcb666904 docker-runc
root      5101  5083  0 06:09 ?        00:00:00 /pause
root      5145     1  0 06:09 ?        00:00:00 docker-containerd-shim cf6a84d620b10a1ec1d1b1d7657a3801d24ed258b91e43774d728c78a179cc05 /var/run/docker/libcontainerd/cf6a84d620b10a1ec1d1b1d7657a3801d24ed258b91e43774d728c78a179cc05 docker-runc
root      5151     1  0 06:09 ?        00:00:00 docker-containerd-shim 8c5741df4f5ad72ad38f72dfc8a3704488b9ab4f7f15fb46cf77b175bf307655 /var/run/docker/libcontainerd/8c5741df4f5ad72ad38f72dfc8a3704488b9ab4f7f15fb46cf77b175bf307655 docker-runc
root      5153     1  0 06:09 ?        00:00:00 docker-containerd-shim 149d3cdf4e91443e80e23aa1d8e58e561141f8ceec33597017829073ea70d82d /var/run/docker/libcontainerd/149d3cdf4e91443e80e23aa1d8e58e561141f8ceec33597017829073ea70d82d docker-runc
root      5192  5153  0 06:09 ?        00:00:00 /pause
root      5203  5145  0 06:09 ?        00:00:00 /pause
root      5244  5151  0 06:09 ?        00:00:06 /usr/local/bin/kube-proxy --config=/var/lib/kube-proxy/config.conf --hostname-override=minikube
root      5403     1  0 06:09 ?        00:00:00 docker-containerd-shim 8200031bbb3d113ba49d09f8c2aeb06811b5f0b5869a267d9811b1b4cbbc0078 /var/run/docker/libcontainerd/8200031bbb3d113ba49d09f8c2aeb06811b5f0b5869a267d9811b1b4cbbc0078 docker-runc
root      5407     1  0 06:09 ?        00:00:00 docker-containerd-shim ca34fd1fff257c2cfb8333abcc6060237874e7bcca8c55419e22519fddb95264 /var/run/docker/libcontainerd/ca34fd1fff257c2cfb8333abcc6060237874e7bcca8c55419e22519fddb95264 docker-runc
root      5436  5403  0 06:09 ?        00:00:07 /coredns -conf /etc/coredns/Corefile
root      5442  5407  0 06:09 ?        00:00:07 /coredns -conf /etc/coredns/Corefile
root      5623     1  0 06:09 ?        00:00:00 docker-containerd-shim 11aca2c4a9dab475a53b52130778fa5047903915612b2b777ca64d20f7868d3e /var/run/docker/libcontainerd/11aca2c4a9dab475a53b52130778fa5047903915612b2b777ca64d20f7868d3e docker-runc
root      5641  5623  0 06:09 ?        00:00:00 /pause
root      5677     1  0 06:09 ?        00:00:00 docker-containerd-shim 97211a99c2aab71e0a92cb8fbca44b7d080fbd21e296cd4f71ee7ab1a10ce95b /var/run/docker/libcontainerd/97211a99c2aab71e0a92cb8fbca44b7d080fbd21e296cd4f71ee7ab1a10ce95b docker-runc
root      5693  5677  0 06:09 ?        00:00:01 /storage-provisioner
root      5821     1  0 06:10 ?        00:00:00 docker-containerd-shim a1dc1e38420a271bb4ccb0cc6690a5428eca9de7e2139252724da4d6a27c4d11 /var/run/docker/libcontainerd/a1dc1e38420a271bb4ccb0cc6690a5428eca9de7e2139252724da4d6a27c4d11 docker-runc
root      5839  5821  0 06:10 ?        00:00:00 /pause
root      5889     1  0 06:10 ?        00:00:00 docker-containerd-shim f29ccca0d7b4ef526a7fc17129e65a017c016453887eb612397cfc754d8ddd54 /var/run/docker/libcontainerd/f29ccca0d7b4ef526a7fc17129e65a017c016453887eb612397cfc754d8ddd54 docker-runc
root      5906  5889  0 06:10 ?        00:00:00 /bin/sh -c node server.js
root      5944  5906  0 06:10 ?        00:00:00 node server.js
root      6005   799  0 06:10 ?        00:00:00 sshd: root@pts/1
root      6010  6005  0 06:10 pts/1    00:00:00 -bash
root      6177  6010  0 06:10 pts/1    00:00:00 kubectl proxy
root      8849     2  0 06:18 ?        00:00:00 [kworker/1:1]
root     28869     2  0 06:27 ?        00:00:00 [kworker/0:2]
root     29095     2  0 06:28 ?        00:00:00 [kworker/0:3]
root     29397  3451  0 06:29 ?        00:00:06 docker-containerd -l unix:///var/run/docker/libcontainerd/docker-containerd.sock --metrics-interval=0 --start-timeout 2m --state-dir /var/run/docker/libcontainerd/containerd --shim docker-containerd-shim --runtime docker-runc --debug
root     29964     2  0 06:30 ?        00:00:00 [kworker/u4:3]
root     30970     2  0 06:33 ?        00:00:00 [kworker/0:1]
root     31704     2  0 06:36 ?        00:00:00 [kworker/1:0]
root     32635     2  0 06:38 ?        00:00:00 [kworker/0:0]
